Store_Date_Interval_ID,Store_ID,Date,Interval_ID,Daypart,Actual_Orders,Active_Pickers,Putaway_Pickers,Audit_Pickers,Picking_Pickers,Putaway_Units_Capacity,Audit_Hours_Capacity,Putaway_Worker_IDs,Audit_Worker_IDs,Picking_Worker_IDs,Orders_Per_Picking_Picker,Putaway_Units_Completed,Putaway_Backlog_Units,Audit_Hours_Completed,Audit_Backlog_Hours,Orders,Units,Revenue_INR,Average_Units_Per_Order,Average_Order_Value_INR,Average_Displayed_SLA_Min,Average_Total_Delivery_Min,SLA_Breaches,Average_Breach_Min,Average_Pick_Queue_Min,Average_Picking_Min,Average_Drop_Zone_Delay_Min,Average_Rider_Wait_For_Order_Min,Average_Ready_Order_Wait_Min,Average_Last_Mile_Min,Rider_Cost_INR,Active_Riders,Quality_Issue_Count,Orders_With_Quality_Issue,Missing_Item_Count,Wrong_Item_Count,Damaged_Item_Count,Wrong_Handoff_Count,Quality_Financial_Impact_INR,Dominant_Root_Cause,Dominant_Root_Cause_Count,Picker_Active_Minutes,Rider_Busy_Minutes,Busy_Riders,SLA_Breach_Rate,Quality_Issue_Rate,Rider_Cost_Per_Order_INR,Picker_Utilization,Rider_Utilization,Required_Riders_At_Target,Rider_Supply_Gap,Required_Pickers_At_Target,Picker_Supply_Gap,Recommended_Action
DS001_20260701_I01,DS001,2026-07-01,1,Night,9,8,7,0,1,525,0.0,P_DS001_004|P_DS001_007|P_DS001_013|P_DS001_016|P_DS001_019|P_DS001_022|P_DS001_028,,P_DS001_001,9.0,525,9475,0.0,50.0,9.0,48.0,11258.75,5.333333333333333,1250.9722222222222,11.11111111111111,9.287379892592591,1.0,0.12036418888888889,0.5575023277777778,1.5388416742011257,0.6166666666666667,2.7130106629629633,0.0,5.800295146296296,315.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Store Not Ready for Rider,1.0,12.772888083333333,43.72868896666667,4,0.1111111111111111,0.0,35.0,0.4257629361111111,0.05026286088122606,3,26,1,0,Monitor - no immediate intervention
DS001_20260701_I02,DS001,2026-07-01,2,Night,4,8,7,0,1,525,0.0,P_DS001_007|P_DS001_013|P_DS001_016|P_DS001_019|P_DS001_022|P_DS001_028|P_DS001_001,,P_DS001_004,4.0,525,8950,0.0,50.0,4.0,17.0,4171.28,4.25,1042.82,11.0,9.185302045833334,0.0,0.0,0.18674301666666665,1.1272097072107752,0.6041666666666665,1.9181193875,0.0,6.0046826541666665,140.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No SLA Breach,0.0,5.5855257,64.56784318333334,7,0.0,0.0,35.0,0.18618419,0.0672581699826389,4,28,1,0,Monitor - no immediate intervention
DS001_20260701_I03,DS001,2026-07-01,3,Night,3,8,7,0,1,525,0.0,P_DS001_013|P_DS001_016|P_DS001_019|P_DS001_022|P_DS001_028|P_DS001_001|P_DS001_004,,P_DS001_007,3.0,525,8425,0.0,50.0,3.0,21.0,5269.85,7.0,1756.6166666666668,11.666666666666666,10.026135244444445,0.0,0.0,0.38662686111111105,1.6782843809035513,0.5111111111111111,2.576022344444444,0.0,6.566779555555556,105.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No SLA Breach,0.0,5.034853116666667,34.05019326666667,3,0.0,0.0,35.0,0.1678284372222222,0.03546895131944445,2,30,1,0,Monitor - no immediate intervention
DS001_20260701_I04,DS001,2026-07-01,4,Night,11,8,7,0,1,525,0.0,P_DS001_016|P_DS001_019|P_DS001_022|P_DS001_028|P_DS001_001|P_DS001_004|P_DS001_007,,P_DS001_013,11.0,525,7900,0.0,50.0,11.0,48.0,10062.98,4.363636363636363,914.8163636363636,11.636363636363637,9.837587203030303,0.0,0.0,0.4102993575757576,1.1087133336800419,0.7136363636363637,2.2326490499999996,0.0,6.627665413636364,385.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No SLA Breach,0.0,12.195846566666667,79.92161779999999,7,0.0,0.0,35.0,0.4065282188888889,0.08325168520833333,4,28,1,0,Monitor - no immediate intervention
DS001_20260701_I05,DS001,2026-07-01,5,Night,9,8,7,0,1,525,0.0,P_DS001_019|P_DS001_022|P_DS001_028|P_DS001_001|P_DS001_004|P_DS001_007|P_DS001_013,,P_DS001_016,9.0,525,7375,0.0,50.0,9.0,33.0,6321.89,3.6666666666666665,702.4322222222222,11.555555555555555,8.708666124074075,0.0,0.0,0.09058883148148147,0.9164281111637469,0.6111111111111112,1.6181280462962961,0.0,6.344241772222222,315.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No SLA Breach,0.0,7.49287365,89.57405396666667,6,0.0,0.0,35.0,0.249762455,0.09330630621527777,5,27,1,0,Monitor - no immediate intervention
DS001_20260701_I06,DS001,2026-07-01,6,Night,6,8,7,0,1,525,0.0,P_DS001_022|P_DS001_028|P_DS001_001|P_DS001_004|P_DS001_007|P_DS001_013|P_DS001_016,,P_DS001_019,6.0,525,6850,0.0,50.0,6.0,33.0,7240.6900000000005,5.5,1206.7816666666668,11.5,9.922892619444445,1.0,0.050921447222222284,0.6225580777777777,1.5536520722068856,0.4694444444444444,2.6456545888888887,0.0,6.391126911111111,210.0,32,2.0,2.0,2.0,0.0,0.0,0.0,899.0899999999999,Store Not Ready for Rider,1.0,10.07689165,74.58955756666667,6,0.16666666666666666,0.3333333333333333,35.0,0.33589638833333335,0.07769745579861112,4,28,1,0,Protect or increase picker capacity
DS001_20260701_I07,DS001,2026-07-01,7,Night,10,8,7,0,1,525,0.0,P_DS001_028|P_DS001_001|P_DS001_004|P_DS001_007|P_DS001_013|P_DS001_016|P_DS001_019,,P_DS001_022,10.0,525,6325,0.0,50.0,10.0,50.0,10666.76,5.0,1066.676,11.1,8.745261936666667,0.0,0.0,0.3748585483333333,1.3788933344863878,0.7166666666666667,2.4704185433333334,0.0,5.338176715,350.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No SLA Breach,0.0,12.1124524,59.660505783333335,5,0.0,0.0,35.0,0.40374841333333333,0.06214636019097222,3,29,1,0,Monitor - no immediate intervention
DS001_20260701_I08,DS001,2026-07-01,8,Night,6,8,7,0,1,525,0.0,P_DS001_001|P_DS001_004|P_DS001_007|P_DS001_013|P_DS001_016|P_DS001_019|P_DS001_022,,P_DS001_028,6.0,525,5800,0.0,50.0,6.0,24.0,4358.360000000001,4.0,726.3933333333334,12.333333333333334,10.328300219444445,0.0,0.0,0.11211935833333332,1.0872591943968437,0.7833333333333333,1.9827118777777777,0.0,7.309477219444443,210.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No SLA Breach,0.0,7.647413133333333,72.5725862,7,0.0,0.0,35.0,0.2549137711111111,0.07559644395833334,4,28,1,0,Monitor - no immediate intervention
DS001_20260701_I09,DS001,2026-07-01,9,Night,8,8,7,0,1,525,0.0,P_DS001_004|P_DS001_007|P_DS001_013|P_DS001_016|P_DS001_019|P_DS001_022|P_DS001_028,,P_DS001_001,8.0,525,5275,0.0,50.0,8.0,38.0,8784.4,4.75,1098.05,11.5,9.516782570833334,1.0,0.06039629166666671,0.10329750416666666,1.4439837617591342,0.5833333333333334,2.130614591666667,0.0,6.279917970833333,280.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Store Not Ready for Rider,1.0,11.399708666666667,72.43205026666666,5,0.125,0.0,35.0,0.3799902888888889,0.0754500523611111,4,28,1,0,Monitor - no immediate intervention
DS001_20260701_I10,DS001,2026-07-01,10,Night,8,8,7,0,1,525,0.0,P_DS001_007|P_DS001_013|P_DS001_016|P_DS001_019|P_DS001_022|P_DS001_028|P_DS001_001,,P_DS001_004,8.0,525,4750,0.0,50.0,8.0,35.0,7524.33,4.375,940.54125,11.375,7.482340445833333,0.0,0.0,0.04166493125,1.0358392693310101,0.5708333333333333,1.6483375270833334,0.0,5.1027529125,280.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No SLA Breach,0.0,8.9914983,79.01054228333334,5,0.0,0.0,35.0,0.29971661,0.08230264821180557,4,28,1,0,Monitor - no immediate intervention
