Date,Day_Name,Day_Of_Week_Number,Weekend_Flag,Salary_Week_Flag,Day_Of_Week_Factor
2026-07-01,Wednesday,3,False,True,0.96
2026-07-02,Thursday,4,False,True,1.0
2026-07-03,Friday,5,False,True,1.08
2026-07-04,Saturday,6,True,True,1.15
2026-07-05,Sunday,7,True,True,1.12
2026-07-06,Monday,1,False,True,0.92
2026-07-07,Tuesday,2,False,True,0.94
2026-07-08,Wednesday,3,False,False,0.96
2026-07-09,Thursday,4,False,False,1.0
2026-07-10,Friday,5,False,False,1.08
2026-07-11,Saturday,6,True,False,1.15
2026-07-12,Sunday,7,True,False,1.12
2026-07-13,Monday,1,False,False,0.92
2026-07-14,Tuesday,2,False,False,0.94
2026-07-15,Wednesday,3,False,False,0.96
2026-07-16,Thursday,4,False,False,1.0
2026-07-17,Friday,5,False,False,1.08
2026-07-18,Saturday,6,True,False,1.15
2026-07-19,Sunday,7,True,False,1.12
2026-07-20,Monday,1,False,False,0.92
2026-07-21,Tuesday,2,False,False,0.94
2026-07-22,Wednesday,3,False,False,0.96
2026-07-23,Thursday,4,False,False,1.0
2026-07-24,Friday,5,False,False,1.08
2026-07-25,Saturday,6,True,False,1.15
2026-07-26,Sunday,7,True,False,1.12
2026-07-27,Monday,1,False,False,0.92
2026-07-28,Tuesday,2,False,False,0.94
2026-07-29,Wednesday,3,False,False,0.96
2026-07-30,Thursday,4,False,False,1.0
2026-07-31,Friday,5,False,False,1.08
2026-08-01,Saturday,6,True,True,1.15
2026-08-02,Sunday,7,True,True,1.12
2026-08-03,Monday,1,False,True,0.92
2026-08-04,Tuesday,2,False,True,0.94
2026-08-05,Wednesday,3,False,True,0.96
2026-08-06,Thursday,4,False,True,1.0
2026-08-07,Friday,5,False,True,1.08
2026-08-08,Saturday,6,True,False,1.15
2026-08-09,Sunday,7,True,False,1.12
2026-08-10,Monday,1,False,False,0.92
2026-08-11,Tuesday,2,False,False,0.94
2026-08-12,Wednesday,3,False,False,0.96
2026-08-13,Thursday,4,False,False,1.0
2026-08-14,Friday,5,False,False,1.08
2026-08-15,Saturday,6,True,False,1.15
2026-08-16,Sunday,7,True,False,1.12
2026-08-17,Monday,1,False,False,0.92
2026-08-18,Tuesday,2,False,False,0.94
2026-08-19,Wednesday,3,False,False,0.96
2026-08-20,Thursday,4,False,False,1.0
2026-08-21,Friday,5,False,False,1.08
2026-08-22,Saturday,6,True,False,1.15
2026-08-23,Sunday,7,True,False,1.12
2026-08-24,Monday,1,False,False,0.92
2026-08-25,Tuesday,2,False,False,0.94
2026-08-26,Wednesday,3,False,False,0.96
2026-08-27,Thursday,4,False,False,1.0
2026-08-28,Friday,5,False,False,1.08
2026-08-29,Saturday,6,True,False,1.15
