Store_Date_ID,Store_ID,Date,Weather_Type,Weather_Factor,Promotion_Flag,Promotion_Factor,Random_Noise_Factor
DS001_20260701,DS001,2026-07-01,Light Rain,1.08,False,1.0,0.9763558629923558
DS001_20260702,DS001,2026-07-02,Cloudy,1.02,False,1.0,1.0236362529117342
DS001_20260703,DS001,2026-07-03,Heavy Rain,1.15,False,1.0,0.9367362240218423
DS001_20260704,DS001,2026-07-04,Light Rain,1.08,False,1.0,1.0590379619221404
DS001_20260705,DS001,2026-07-05,Clear,1.0,False,1.0,1.0147342645080264
DS001_20260706,DS001,2026-07-06,Heavy Rain,1.15,False,1.0,1.033863359433736
DS001_20260707,DS001,2026-07-07,Light Rain,1.08,False,1.0,0.9771622535391282
DS001_20260708,DS001,2026-07-08,Light Rain,1.08,False,1.0,1.0325505475986485
DS001_20260709,DS001,2026-07-09,Clear,1.0,True,1.18,1.0427388622395615
DS001_20260710,DS001,2026-07-10,Cloudy,1.02,False,1.0,1.0093151208054867
DS001_20260711,DS001,2026-07-11,Cloudy,1.02,False,1.0,1.0093760357079478
DS001_20260712,DS001,2026-07-12,Heavy Rain,1.15,False,1.0,1.0108137295712691
DS001_20260713,DS001,2026-07-13,Light Rain,1.08,False,1.0,0.9654661894104247
DS001_20260714,DS001,2026-07-14,Light Rain,1.08,False,1.0,0.9940988527903859
DS001_20260715,DS001,2026-07-15,Cloudy,1.02,True,1.18,0.9938990987019056
DS001_20260716,DS001,2026-07-16,Clear,1.0,False,1.0,1.0153357545741397
DS001_20260717,DS001,2026-07-17,Cloudy,1.02,False,1.0,1.0399929698764119
DS001_20260718,DS001,2026-07-18,Clear,1.0,False,1.0,0.9576585567208636
DS001_20260719,DS001,2026-07-19,Light Rain,1.08,False,1.0,0.9949996387872169
DS001_20260720,DS001,2026-07-20,Light Rain,1.08,False,1.0,1.0592582219063589
DS001_20260721,DS001,2026-07-21,Light Rain,1.08,False,1.0,0.9702564708474974
DS001_20260722,DS001,2026-07-22,Cloudy,1.02,False,1.0,0.9671099993083871
DS001_20260723,DS001,2026-07-23,Heavy Rain,1.15,False,1.0,1.0080922476732477
