Store_Date_ID,Store_ID,Date,Day_Name,Weekend_Flag,Salary_Week_Flag,Weather_Type,Promotion_Flag,Base_Daily_Orders,Day_Of_Week_Factor,Salary_Week_Factor,Weather_Factor,Promotion_Factor,Random_Noise_Factor,Expected_Orders,Actual_Orders,Demand_Variance,Demand_Variance_Pct
DS001_20260701,DS001,2026-07-01,Wednesday,False,True,Light Rain,False,2300,0.96,1.08,1.08,1.0,0.9763558629923558,2514.517824736179,2544,29.482175263820864,0.011724782769004275
DS001_20260702,DS001,2026-07-02,Thursday,False,True,Cloudy,False,2300,1.0,1.08,1.02,1.0,1.0236362529117342,2593.5667012774024,2578,-15.566701277402444,-0.006002043930366402
DS001_20260703,DS001,2026-07-03,Friday,False,True,Heavy Rain,False,2300,1.08,1.08,1.15,1.0,0.9367362240218423,2889.9511533440586,2889,-0.951153344058639,-0.0003291243670184625
DS001_20260704,DS001,2026-07-04,Saturday,True,True,Light Rain,False,2300,1.15,1.08,1.08,1.0,1.0590379619221404,3267.26766938893,3245,-22.26766938892979,-0.006815379589972335
DS001_20260705,DS001,2026-07-05,Sunday,True,True,Clear,False,2300,1.12,1.08,1.0,1.0,1.0147342645080264,2823.071902602491,2773,-50.07190260249081,-0.017736672791199996
DS001_20260706,DS001,2026-07-06,Monday,False,True,Heavy Rain,False,2300,0.92,1.08,1.15,1.0,1.033863359433736,2717.0673467537376,2710,-7.067346753737638,-0.0026010936983882535
DS001_20260707,DS001,2026-07-07,Tuesday,False,True,Light Rain,False,2300,0.94,1.08,1.08,1.0,0.9771622535391282,2464.165557565621,2441,-23.16555756562093,-0.009400974498039193
DS001_20260708,DS001,2026-07-08,Wednesday,False,False,Light Rain,False,2300,0.96,1.0,1.08,1.0,1.0325505475986485,2462.2613378256415,2468,5.738662174358524,0.002330647070723283
DS001_20260709,DS001,2026-07-09,Thursday,False,False,Clear,True,2300,1.0,1.0,1.0,1.18,1.0427388622395615,2829.99327211817,2909,79.0067278818301,0.02791763805950528
DS001_20260710,DS001,2026-07-10,Friday,False,False,Cloudy,False,2300,1.08,1.0,1.02,1.0,1.0093151208054867,2557.2815352824455,2531,-26.281535282445475,-0.010277138015444491
DS001_20260711,DS001,2026-07-11,Saturday,True,False,Cloudy,False,2300,1.15,1.0,1.02,1.0,1.0093760357079478,2723.195606736472,2727,3.8043932635277997,0.0013970326825281034
DS001_20260712,DS001,2026-07-12,Sunday,True,False,Heavy Rain,False,2300,1.12,1.0,1.15,1.0,1.0108137295712691,2994.4345924819277,3009,14.565407518072334,0.004864159516003935
DS001_20260713,DS001,2026-07-13,Monday,False,False,Light Rain,False,2300,0.92,1.0,1.08,1.0,0.9654661894104247,2206.3605733358554,2178,-28.360573335855406,-0.012854006583781679
DS001_20260714,DS001,2026-07-14,Tuesday,False,False,Light Rain,False,2300,0.94,1.0,1.08,1.0,0.9940988527903859,2321.1810573114394,2296,-25.181057311439417,-0.010848381358327105
DS001_20260715,DS001,2026-07-15,Wednesday,False,False,Cloudy,True,2300,0.96,1.0,1.02,1.18,0.9938990987019056,2641.3353570763306,2709,67.66464292366936,0.025617588748203
