Assignment_ID,Order_ID,Rider_ID,Rider_Shift_ID,Assigned_Time
RA_ORD000000009,ORD000000009,R_DS001_001,SH00000032,2026-07-01 00:01:56.000000000
RA_ORD000000006,ORD000000006,R_DS001_004,SH00000034,2026-07-01 00:02:46.000000000
RA_ORD000000003,ORD000000003,R_DS001_001,SH00000032,2026-07-01 00:10:17.000000000
RA_ORD000000005,ORD000000005,R_DS001_016,SH00000043,2026-07-01 00:11:58.000000000
RA_ORD000000007,ORD000000007,R_DS001_019,SH00000045,2026-07-01 00:12:17.000000000
RA_ORD000000004,ORD000000004,R_DS001_001,SH00000032,2026-07-01 00:21:08.000000000
RA_ORD000000001,ORD000000001,R_DS001_004,SH00000034,2026-07-01 00:25:46.000000000
RA_ORD000000002,ORD000000002,R_DS001_016,SH00000043,2026-07-01 00:26:18.000000000
RA_ORD000000008,ORD000000008,R_DS001_019,SH00000045,2026-07-01 00:26:42.000000000
RA_ORD000000011,ORD000000011,R_DS001_022,SH00000048,2026-07-01 00:30:25.000000000
RA_ORD000000010,ORD000000010,R_DS001_037,SH00000059,2026-07-01 00:32:03.000000000
RA_ORD000000012,ORD000000012,R_DS001_043,SH00000062,2026-07-01 00:32:19.000000000
RA_ORD000000013,ORD000000013,R_DS001_001,SH00000032,2026-07-01 00:55:05.000000000
RA_ORD000000015,ORD000000015,R_DS001_001,SH00000032,2026-07-01 01:05:50.000000000
RA_ORD000000016,ORD000000016,R_DS001_004,SH00000034,2026-07-01 01:06:07.000000000
RA_ORD000000014,ORD000000014,R_DS001_016,SH00000043,2026-07-01 01:12:42.000000000
RA_ORD000000022,ORD000000022,R_DS001_001,SH00000032,2026-07-01 01:31:06.000000000
RA_ORD000000020,ORD000000020,R_DS001_004,SH00000034,2026-07-01 01:31:19.000000000
RA_ORD000000024,ORD000000024,R_DS001_016,SH00000043,2026-07-01 01:31:43.000000000
RA_ORD000000019,ORD000000019,R_DS001_019,SH00000045,2026-07-01 01:32:43.000000000
RA_ORD000000027,ORD000000027,R_DS001_022,SH00000048,2026-07-01 01:35:35.000000000
RA_ORD000000023,ORD000000023,R_DS001_037,SH00000059,2026-07-01 01:36:34.000000000
RA_ORD000000017,ORD000000017,R_DS001_043,SH00000062,2026-07-01 01:42:20.000000000
RA_ORD000000026,ORD000000026,R_DS001_001,SH00000032,2026-07-01 01:52:12.000000000
RA_ORD000000025,ORD000000025,R_DS001_004,SH00000034,2026-07-01 01:55:22.000000000
RA_ORD000000021,ORD000000021,R_DS001_016,SH00000043,2026-07-01 01:56:07.000000000
RA_ORD000000018,ORD000000018,R_DS001_019,SH00000045,2026-07-01 01:58:40.000000000
RA_ORD000000035,ORD000000035,R_DS001_022,SH00000048,2026-07-01 02:03:05.000000000
RA_ORD000000033,ORD000000033,R_DS001_037,SH00000059,2026-07-01 02:04:00.000000000
RA_ORD000000034,ORD000000034,R_DS001_001,SH00000032,2026-07-01 02:05:50.000000000
RA_ORD000000030,ORD000000030,R_DS001_004,SH00000034,2026-07-01 02:08:08.000000000
RA_ORD000000029,ORD000000029,R_DS001_016,SH00000043,2026-07-01 02:13:39.000000000
RA_ORD000000032,ORD000000032,R_DS001_001,SH00000032,2026-07-01 02:17:24.000000000
RA_ORD000000031,ORD000000031,R_DS001_004,SH00000034,2026-07-01 02:18:53.000000000
RA_ORD000000028,ORD000000028,R_DS001_016,SH00000043,2026-07-01 02:26:39.000000000
RA_ORD000000036,ORD000000036,R_DS001_001,SH00000032,2026-07-01 02:29:36.000000000
RA_ORD000000041,ORD000000041,R_DS001_019,SH00000045,2026-07-01 02:33:20.000000000
RA_ORD000000037,ORD000000037,R_DS001_022,SH00000048,2026-07-01 02:34:19.000000000
RA_ORD000000038,ORD000000038,R_DS001_037,SH00000059,2026-07-01 02:34:31.000000000
RA_ORD000000039,ORD000000039,R_DS001_004,SH00000034,2026-07-01 02:36:24.000000000
RA_ORD000000042,ORD000000042,R_DS001_001,SH00000032,2026-07-01 02:48:32.000000000
RA_ORD000000040,ORD000000040,R_DS001_004,SH00000034,2026-07-01 02:52:29.000000000
RA_ORD000000047,ORD000000047,R_DS001_016,SH00000043,2026-07-01 03:00:45.000000000
RA_ORD000000043,ORD000000043,R_DS001_001,SH00000032,2026-07-01 03:05:15.000000000
RA_ORD000000050,ORD000000050,R_DS001_019,SH00000045,2026-07-01 03:06:34.000000000
RA_ORD000000051,ORD000000051,R_DS001_022,SH00000048,2026-07-01 03:08:12.000000000
RA_ORD000000052,ORD000000052,R_DS001_004,SH00000034,2026-07-01 03:13:58.000000000
RA_ORD000000049,ORD000000049,R_DS001_001,SH00000032,2026-07-01 03:19:50.000000000
RA_ORD000000046,ORD000000046,R_DS001_016,SH00000043,2026-07-01 03:20:49.000000000
RA_ORD000000048,ORD000000048,R_DS001_004,SH00000034,2026-07-01 03:28:02.000000000
RA_ORD000000044,ORD000000044,R_DS001_019,SH00000045,2026-07-01 03:28:21.000000000
RA_ORD000000045,ORD000000045,R_DS001_022,SH00000048,2026-07-01 03:29:25.000000000
RA_ORD000000055,ORD000000055,R_DS001_037,SH00000059,2026-07-01 03:33:08.000000000
RA_ORD000000053,ORD000000053,R_DS001_043,SH00000062,2026-07-01 03:33:13.000000000
RA_ORD000000057,ORD000000057,R_DS001_001,SH00000032,2026-07-01 03:39:44.000000000
RA_ORD000000054,ORD000000054,R_DS001_004,SH00000034,2026-07-01 03:49:19.000000000
RA_ORD000000056,ORD000000056,R_DS001_001,SH00000032,2026-07-01 03:54:50.000000000
RA_ORD000000058,ORD000000058,R_DS001_016,SH00000043,2026-07-01 03:58:37.000000000
RA_ORD000000062,ORD000000062,R_DS001_019,SH00000045,2026-07-01 04:01:50.000000000
RA_ORD000000065,ORD000000065,R_DS001_022,SH00000048,2026-07-01 04:04:14.000000000
RA_ORD000000060,ORD000000060,R_DS001_004,SH00000034,2026-07-01 04:06:59.000000000
RA_ORD000000066,ORD000000066,R_DS001_001,SH00000032,2026-07-01 04:15:52.000000000
RA_ORD000000064,ORD000000064,R_DS001_004,SH00000034,2026-07-01 04:18:24.000000000
RA_ORD000000061,ORD000000061,R_DS001_016,SH00000043,2026-07-01 04:22:53.000000000
RA_ORD000000059,ORD000000059,R_DS001_019,SH00000045,2026-07-01 04:24:00.000000000
RA_ORD000000063,ORD000000063,R_DS001_001,SH00000032,2026-07-01 04:29:44.000000000
RA_ORD000000067,ORD000000067,R_DS001_016,SH00000043,2026-07-01 04:33:52.000000000
RA_ORD000000070,ORD000000070,R_DS001_022,SH00000048,2026-07-01 04:36:21.000000000
RA_ORD000000068,ORD000000068,R_DS001_004,SH00000034,2026-07-01 04:39:51.000000000
RA_ORD000000071,ORD000000071,R_DS001_001,SH00000032,2026-07-01 04:43:56.000000000
RA_ORD000000073,ORD000000073,R_DS001_016,SH00000043,2026-07-01 04:44:28.000000000
RA_ORD000000074,ORD000000074,R_DS001_019,SH00000045,2026-07-01 04:48:17.000000000
RA_ORD000000072,ORD000000072,R_DS001_001,SH00000032,2026-07-01 04:55:20.000000000
RA_ORD000000069,ORD000000069,R_DS001_004,SH00000034,2026-07-01 04:58:22.000000000
RA_ORD000000080,ORD000000080,R_DS001_016,SH00000043,2026-07-01 05:01:18.000000000
RA_ORD000000085,ORD000000085,R_DS001_019,SH00000045,2026-07-01 05:05:10.000000000
RA_ORD000000075,ORD000000075,R_DS001_001,SH00000032,2026-07-01 05:11:07.000000000
RA_ORD000000077,ORD000000077,R_DS001_004,SH00000034,2026-07-01 05:11:40.000000000
RA_ORD000000079,ORD000000079,R_DS001_016,SH00000043,2026-07-01 05:13:47.000000000
RA_ORD000000083,ORD000000083,R_DS001_022,SH00000048,2026-07-01 05:16:41.000000000
RA_ORD000000088,ORD000000088,R_DS001_037,SH00000059,2026-07-01 05:17:06.000000000
RA_ORD000000082,ORD000000082,R_DS001_019,SH00000045,2026-07-01 05:17:53.000000000
RA_ORD000000076,ORD000000076,R_DS001_043,SH00000062,2026-07-01 05:20:18.000000000
RA_ORD000000087,ORD000000087,R_DS001_001,SH00000032,2026-07-01 05:23:22.000000000
RA_ORD000000089,ORD000000089,R_DS001_055,SH00000071,2026-07-01 05:23:53.000000000
RA_ORD000000078,ORD000000078,R_DS001_058,SH00000074,2026-07-01 05:23:59.000000000
RA_ORD000000084,ORD000000084,R_DS001_064,SH00000077,2026-07-01 05:25:03.000000000
RA_ORD000000086,ORD000000086,R_DS001_037,SH00000059,2026-07-01 05:26:07.000000000
RA_ORD000000081,ORD000000081,R_DS001_004,SH00000034,2026-07-01 05:28:44.000000000
RA_ORD000000104,ORD000000104,R_DS001_016,SH00000043,2026-07-01 05:34:09.000000000
RA_ORD000000100,ORD000000100,R_DS001_019,SH00000045,2026-07-01 05:34:58.000000000
RA_ORD000000103,ORD000000103,R_DS001_001,SH00000032,2026-07-01 05:40:44.000000000
RA_ORD000000099,ORD000000099,R_DS001_016,SH00000043,2026-07-01 05:43:52.000000000
RA_ORD000000090,ORD000000090,R_DS001_022,SH00000048,2026-07-01 05:44:31.000000000
RA_ORD000000101,ORD000000101,R_DS001_037,SH00000059,2026-07-01 05:45:23.000000000
RA_ORD000000093,ORD000000093,R_DS001_004,SH00000034,2026-07-01 05:48:31.000000000
RA_ORD000000094,ORD000000094,R_DS001_019,SH00000045,2026-07-01 05:49:40.000000000
RA_ORD000000105,ORD000000105,R_DS001_043,SH00000062,2026-07-01 05:50:52.000000000
RA_ORD000000095,ORD000000095,R_DS001_055,SH00000071,2026-07-01 05:51:09.000000000
RA_ORD000000102,ORD000000102,R_DS001_058,SH00000074,2026-07-01 05:51:54.000000000
RA_ORD000000098,ORD000000098,R_DS001_064,SH00000077,2026-07-01 05:52:06.000000000
RA_ORD000000092,ORD000000092,R_DS001_016,SH00000043,2026-07-01 05:53:26.000000000
RA_ORD000000091,ORD000000091,R_DS001_037,SH00000059,2026-07-01 05:53:54.000000000
RA_ORD000000097,ORD000000097,R_DS001_067,SH00000079,2026-07-01 05:54:38.000000000
RA_ORD000000096,ORD000000096,R_DS001_070,SH00000082,2026-07-01 05:55:09.000000000
RA_ORD000000110,ORD000000110,R_DS001_001,SH00000032,2026-07-01 06:00:54.000000000
RA_ORD000000106,ORD000000106,R_DS001_004,SH00000034,2026-07-01 06:02:46.000000000
RA_ORD000000108,ORD000000108,R_DS001_019,SH00000045,2026-07-01 06:03:34.000000000
RA_ORD000000113,ORD000000113,R_DS001_022,SH00000048,2026-07-01 06:04:08.000000000
RA_ORD000000109,ORD000000109,R_DS001_043,SH00000062,2026-07-01 06:04:58.000000000
RA_ORD000000114,ORD000000114,R_DS001_064,SH00000077,2026-07-01 06:06:43.000000000
RA_ORD000000117,ORD000000117,R_DS001_076,SH00000086,2026-07-01 06:06:57.000000000
RA_ORD000000111,ORD000000111,R_DS001_055,SH00000071,2026-07-01 06:08:00.000000000
RA_ORD000000107,ORD000000107,R_DS001_004,SH00000034,2026-07-01 06:14:49.000000000
RA_ORD000000115,ORD000000115,R_DS001_001,SH00000032,2026-07-01 06:22:58.000000000
RA_ORD000000116,ORD000000116,R_DS001_016,SH00000043,2026-07-01 06:24:46.000000000
RA_ORD000000112,ORD000000112,R_DS001_004,SH00000034,2026-07-01 06:27:21.000000000
RA_ORD000000118,ORD000000118,R_DS001_019,SH00000045,2026-07-01 06:28:53.000000000
RA_ORD000000129,ORD000000129,R_DS001_022,SH00000048,2026-07-01 06:30:23.000000000
RA_ORD000000127,ORD000000127,R_DS001_037,SH00000059,2026-07-01 06:31:09.000000000
RA_ORD000000134,ORD000000134,R_DS001_016,SH00000043,2026-07-01 06:32:53.000000000
RA_ORD000000121,ORD000000121,R_DS001_004,SH00000034,2026-07-01 06:35:08.000000000
RA_ORD000000123,ORD000000123,R_DS001_043,SH00000062,2026-07-01 06:35:47.000000000
RA_ORD000000131,ORD000000131,R_DS001_055,SH00000071,2026-07-01 06:36:32.000000000
RA_ORD000000136,ORD000000136,R_DS001_001,SH00000032,2026-07-01 06:39:42.000000000
RA_ORD000000130,ORD000000130,R_DS001_016,SH00000043,2026-07-01 06:43:33.000000000
RA_ORD000000128,ORD000000128,R_DS001_019,SH00000045,2026-07-01 06:43:58.000000000
RA_ORD000000120,ORD000000120,R_DS001_022,SH00000048,2026-07-01 06:45:13.000000000
RA_ORD000000124,ORD000000124,R_DS001_004,SH00000034,2026-07-01 06:47:17.000000000
RA_ORD000000135,ORD000000135,R_DS001_037,SH00000059,2026-07-01 06:48:19.000000000
RA_ORD000000133,ORD000000133,R_DS001_001,SH00000032,2026-07-01 06:52:36.000000000
RA_ORD000000137,ORD000000137,R_DS001_043,SH00000062,2026-07-01 06:52:47.000000000
RA_ORD000000126,ORD000000126,R_DS001_055,SH00000071,2026-07-01 06:53:26.000000000
RA_ORD000000132,ORD000000132,R_DS001_058,SH00000074,2026-07-01 06:53:37.000000000
RA_ORD000000119,ORD000000119,R_DS001_019,SH00000045,2026-07-01 06:55:10.000000000
RA_ORD000000122,ORD000000122,R_DS001_016,SH00000043,2026-07-01 06:58:25.000000000
RA_ORD000000125,ORD000000125,R_DS001_004,SH00000034,2026-07-01 06:59:33.000000000
RA_ORD000000145,ORD000000145,R_DS001_022,SH00000048,2026-07-01 07:02:17.000000000
RA_ORD000000161,ORD000000161,R_DS001_037,SH00000059,2026-07-01 07:02:43.000000000
RA_ORD000000150,ORD000000150,R_DS001_064,SH00000077,2026-07-01 07:02:44.000000000
RA_ORD000000142,ORD000000142,R_DS001_067,SH00000079,2026-07-01 07:03:35.000000000
RA_ORD000000147,ORD000000147,R_DS001_070,SH00000082,2026-07-01 07:03:39.000000000
RA_ORD000000157,ORD000000157,R_DS001_076,SH00000086,2026-07-01 07:05:42.000000000
RA_ORD000000155,ORD000000155,R_DS001_043,SH00000062,2026-07-01 07:07:11.000000000
RA_ORD000000154,ORD000000154,R_DS001_079,SH00000089,2026-07-01 07:07:25.000000000
RA_ORD000000148,ORD000000148,R_DS001_001,SH00000032,2026-07-01 07:07:57.000000000
RA_ORD000000149,ORD000000149,R_DS001_016,SH00000043,2026-07-01 07:09:56.000000000
RA_ORD000000146,ORD000000146,R_DS001_004,SH00000034,2026-07-01 07:11:55.000000000
RA_ORD000000160,ORD000000160,R_DS001_019,SH00000045,2026-07-01 07:12:45.000000000
RA_ORD000000158,ORD000000158,R_DS001_055,SH00000071,2026-07-01 07:13:29.000000000
RA_ORD000000159,ORD000000159,R_DS001_058,SH00000074,2026-07-01 07:13:38.000000000
RA_ORD000000153,ORD000000153,R_DS001_064,SH00000077,2026-07-01 07:13:56.000000000
RA_ORD000000156,ORD000000156,R_DS001_067,SH00000079,2026-07-01 07:15:34.000000000
RA_ORD000000162,ORD000000162,R_DS001_001,SH00000032,2026-07-01 07:17:26.000000000
RA_ORD000000151,ORD000000151,R_DS001_022,SH00000048,2026-07-01 07:18:09.000000000
RA_ORD000000140,ORD000000140,R_DS001_076,SH00000086,2026-07-01 07:18:53.000000000
RA_ORD000000138,ORD000000138,R_DS001_043,SH00000062,2026-07-01 07:19:25.000000000
RA_ORD000000143,ORD000000143,R_DS001_037,SH00000059,2026-07-01 07:22:03.000000000
RA_ORD000000139,ORD000000139,R_DS001_055,SH00000071,2026-07-01 07:22:38.000000000
RA_ORD000000144,ORD000000144,R_DS001_070,SH00000082,2026-07-01 07:22:56.000000000
RA_ORD000000163,ORD000000163,R_DS001_079,SH00000089,2026-07-01 07:23:23.000000000
RA_ORD000000152,ORD000000152,R_DS001_016,SH00000043,2026-07-01 07:25:50.000000000
RA_ORD000000141,ORD000000141,R_DS001_004,SH00000034,2026-07-01 07:26:18.000000000
RA_ORD000000196,ORD000000196,R_DS001_001,SH00000032,2026-07-01 07:30:12.000000000
RA_ORD000000198,ORD000000198,R_DS001_058,SH00000074,2026-07-01 07:30:47.000000000
RA_ORD000000176,ORD000000176,R_DS001_064,SH00000077,2026-07-01 07:31:41.000000000
RA_ORD000000203,ORD000000203,R_DS001_019,SH00000045,2026-07-01 07:32:22.000000000
RA_ORD000000189,ORD000000189,R_DS001_004,SH00000034,2026-07-01 07:35:33.000000000
RA_ORD000000179,ORD000000179,R_DS001_055,SH00000071,2026-07-01 07:35:34.000000000
RA_ORD000000182,ORD000000182,R_DS001_022,SH00000048,2026-07-01 07:36:40.000000000
RA_ORD000000195,ORD000000195,R_DS001_067,SH00000079,2026-07-01 07:37:56.000000000
RA_ORD000000171,ORD000000171,R_DS001_070,SH00000082,2026-07-01 07:37:58.000000000
RA_ORD000000178,ORD000000178,R_DS001_016,SH00000043,2026-07-01 07:39:18.000000000
RA_ORD000000187,ORD000000187,R_DS001_043,SH00000062,2026-07-01 07:39:51.000000000
RA_ORD000000201,ORD000000201,R_DS001_076,SH00000086,2026-07-01 07:42:16.000000000
RA_ORD000000177,ORD000000177,R_DS001_037,SH00000059,2026-07-01 07:43:20.000000000
RA_ORD000000172,ORD000000172,R_DS001_079,SH00000089,2026-07-01 07:43:25.000000000
RA_ORD000000169,ORD000000169,R_DS001_082,SH00000091,2026-07-01 07:43:28.000000000
RA_ORD000000194,ORD000000194,R_DS001_004,SH00000034,2026-07-01 07:43:49.000000000
RA_ORD000000174,ORD000000174,R_DS001_019,SH00000045,2026-07-01 07:44:32.000000000
