Order_ID,Store_Date_Interval_ID,Store_ID,Order_Date,Interval_ID,Order_Created_Time,Delivery_Distance_KM,Promotion_ID,Total_Units,Distinct_SKU_Lines,Order_Value_INR
ORD000000001,DS001_20260701_I01,DS001,2026-07-01,1,2026-07-01 00:25:46,1.54,,9,6,2005.46
ORD000000002,DS001_20260701_I01,DS001,2026-07-01,1,2026-07-01 00:26:18,1.03,,3,2,437.92
ORD000000003,DS001_20260701_I01,DS001,2026-07-01,1,2026-07-01 00:10:17,0.53,,4,3,854.31
ORD000000004,DS001_20260701_I01,DS001,2026-07-01,1,2026-07-01 00:21:08,1.56,,8,5,2267.77
ORD000000005,DS001_20260701_I01,DS001,2026-07-01,1,2026-07-01 00:11:58,1.86,,2,2,835.41
ORD000000006,DS001_20260701_I01,DS001,2026-07-01,1,2026-07-01 00:02:46,1.35,,5,4,1041.22
ORD000000007,DS001_20260701_I01,DS001,2026-07-01,1,2026-07-01 00:12:17,0.58,,9,6,1593.9
ORD000000008,DS001_20260701_I01,DS001,2026-07-01,1,2026-07-01 00:26:42,0.72,,5,4,1320.84
ORD000000009,DS001_20260701_I01,DS001,2026-07-01,1,2026-07-01 00:01:56,0.71,,3,3,901.92
ORD000000010,DS001_20260701_I02,DS001,2026-07-01,2,2026-07-01 00:32:03,1.27,,4,3,1002.37
ORD000000011,DS001_20260701_I02,DS001,2026-07-01,2,2026-07-01 00:30:25,1.2,,5,4,943.83
ORD000000012,DS001_20260701_I02,DS001,2026-07-01,2,2026-07-01 00:32:19,1.28,,6,5,1693.04
ORD000000013,DS001_20260701_I02,DS001,2026-07-01,2,2026-07-01 00:55:05,1.08,,2,2,532.04
ORD000000014,DS001_20260701_I03,DS001,2026-07-01,3,2026-07-01 01:12:42,1.05,,7,5,1073.96
ORD000000015,DS001_20260701_I03,DS001,2026-07-01,3,2026-07-01 01:05:50,1.48,,6,5,1880.41
ORD000000016,DS001_20260701_I03,DS001,2026-07-01,3,2026-07-01 01:06:07,1.33,,8,7,2315.48
ORD000000017,DS001_20260701_I04,DS001,2026-07-01,4,2026-07-01 01:42:20,0.79,,3,2,601.57
