Product_ID,Category,Storage_Type,Handling_Complexity,Fragile_Flag,Similar_Packaging_Flag,Unit_Price_INR,Popularity_Weight,Active_Flag,Popularity_Probability
SKU0001,Dairy,Chilled,Medium,False,False,323.53,0.9821,True,0.0026055387795752925
SKU0002,Dairy,Chilled,Medium,False,False,130.58,0.8123,True,0.002155054628499145
SKU0003,Frozen,Frozen,High,False,False,399.91,0.8971,True,0.0023800314012391763
SKU0004,Personal Care,Ambient,Medium,False,False,240.08,1.0093,True,0.00267770114064285
SKU0005,Dairy,Chilled,Medium,False,False,321.98,0.641,True,0.00170059093545236
SKU0006,Frozen,Frozen,High,False,True,160.4,1.5971,True,0.004237150987536605
SKU0007,Frozen,Frozen,High,False,False,83.08,1.1063,True,0.0029350448547440654
SKU0008,Dairy,Chilled,Medium,False,False,30.69,0.6015,True,0.0015957963302255765
SKU0009,Beverages,Ambient,Medium,True,False,111.32,0.2807,True,0.000744704954105269
SKU0010,Produce,Ambient,High,False,False,154.59,1.0237,True,0.0027159047435609688
SKU0011,Produce,Ambient,High,False,False,85.7,3.2833,True,0.00871068676812907
SKU0012,Personal Care,Ambient,Medium,False,False,230.15,2.0239,True,0.005369463329581952
SKU0013,Frozen,Frozen,High,False,True,286.53,5.2064,True,0.013812724877284192
SKU0014,Dairy,Chilled,Medium,True,False,198.84,0.2449,True,0.0006497265524060576
SKU0015,Household,Ambient,Medium,False,False,159.48,3.7974,True,0.01007460845286551
SKU0016,Beverages,Ambient,Medium,False,False,206.66,1.6096,True,0.004270313837291916
SKU0017,Personal Care,Ambient,Medium,False,False,625.13,0.6458,True,0.0017133254697583994
SKU0018,Personal Care,Ambient,Medium,True,False,292.04,4.6662,True,0.012379559162258661
SKU0019,Produce,Ambient,High,False,False,277.78,1.6102,True,0.004271905654080171
SKU0020,Staples,Ambient,Low,False,False,234.68,0.7494,True,0.001988179168530419
SKU0021,Staples,Ambient,Low,False,False,387.42,4.8489,True,0.012864267374282291
SKU0022,Staples,Ambient,Low,False,False,446.03,5.2972,True,0.014053619817906772
SKU0023,Produce,Ambient,High,False,False,166.93,0.9628,True,0.0025543353395530923
SKU0024,Staples,Ambient,Low,True,False,370.06,1.4846,True,0.003938685339738804
SKU0025,Produce,Ambient,High,False,True,270.66,0.379,True,0.0010054976045810364
SKU0026,Beverages,Ambient,Medium,False,False,132.27,1.4184,True,0.003763054887434676
SKU0027,Beverages,Ambient,Medium,False,False,261.37,0.9156,True,0.002429112418877037
