Promotion_ID,Store_ID,Start_Datetime,End_Datetime,Promotion_Type,Demand_Lift_Assumption
PROMO_DS001_20260709,DS001,2026-07-09,2026-07-10,Store-wide offer,0.17999999999999994
PROMO_DS001_20260715,DS001,2026-07-15,2026-07-16,Store-wide offer,0.17999999999999994
PROMO_DS001_20260725,DS001,2026-07-25,2026-07-26,Store-wide offer,0.17999999999999994
PROMO_DS001_20260726,DS001,2026-07-26,2026-07-27,Store-wide offer,0.17999999999999994
PROMO_DS001_20260807,DS001,2026-08-07,2026-08-08,Store-wide offer,0.17999999999999994
PROMO_DS001_20260808,DS001,2026-08-08,2026-08-09,Store-wide offer,0.17999999999999994
PROMO_DS001_20260818,DS001,2026-08-18,2026-08-19,Store-wide offer,0.17999999999999994
PROMO_DS002_20260703,DS002,2026-07-03,2026-07-04,Store-wide offer,0.17999999999999994
PROMO_DS002_20260705,DS002,2026-07-05,2026-07-06,Store-wide offer,0.17999999999999994
PROMO_DS002_20260709,DS002,2026-07-09,2026-07-10,Store-wide offer,0.17999999999999994
PROMO_DS002_20260716,DS002,2026-07-16,2026-07-17,Store-wide offer,0.17999999999999994
PROMO_DS002_20260720,DS002,2026-07-20,2026-07-21,Store-wide offer,0.17999999999999994
PROMO_DS002_20260730,DS002,2026-07-30,2026-07-31,Store-wide offer,0.17999999999999994
PROMO_DS002_20260804,DS002,2026-08-04,2026-08-05,Store-wide offer,0.17999999999999994
PROMO_DS002_20260810,DS002,2026-08-10,2026-08-11,Store-wide offer,0.17999999999999994
PROMO_DS002_20260813,DS002,2026-08-13,2026-08-14,Store-wide offer,0.17999999999999994
PROMO_DS002_20260825,DS002,2026-08-25,2026-08-26,Store-wide offer,0.17999999999999994
PROMO_DS003_20260708,DS003,2026-07-08,2026-07-09,Store-wide offer,0.17999999999999994
PROMO_DS003_20260725,DS003,2026-07-25,2026-07-26,Store-wide offer,0.17999999999999994
PROMO_DS003_20260816,DS003,2026-08-16,2026-08-17,Store-wide offer,0.17999999999999994
PROMO_DS003_20260819,DS003,2026-08-19,2026-08-20,Store-wide offer,0.17999999999999994
PROMO_DS003_20260828,DS003,2026-08-28,2026-08-29,Store-wide offer,0.17999999999999994
PROMO_DS003_20260829,DS003,2026-08-29,2026-08-30,Store-wide offer,0.17999999999999994
PROMO_DS004_20260718,DS004,2026-07-18,2026-07-19,Store-wide offer,0.17999999999999994
PROMO_DS004_20260719,DS004,2026-07-19,2026-07-20,Store-wide offer,0.17999999999999994
PROMO_DS004_20260729,DS004,2026-07-29,2026-07-30,Store-wide offer,0.17999999999999994
PROMO_DS004_20260730,DS004,2026-07-30,2026-07-31,Store-wide offer,0.17999999999999994
PROMO_DS004_20260731,DS004,2026-07-31,2026-08-01,Store-wide offer,0.17999999999999994
PROMO_DS004_20260802,DS004,2026-08-02,2026-08-03,Store-wide offer,0.17999999999999994
PROMO_DS004_20260810,DS004,2026-08-10,2026-08-11,Store-wide offer,0.17999999999999994
PROMO_DS004_20260816,DS004,2026-08-16,2026-08-17,Store-wide offer,0.17999999999999994
PROMO_DS004_20260819,DS004,2026-08-19,2026-08-20,Store-wide offer,0.17999999999999994
PROMO_DS004_20260821,DS004,2026-08-21,2026-08-22,Store-wide offer,0.17999999999999994
PROMO_DS004_20260823,DS004,2026-08-23,2026-08-24,Store-wide offer,0.17999999999999994
PROMO_DS005_20260806,DS005,2026-08-06,2026-08-07,Store-wide offer,0.17999999999999994
PROMO_DS005_20260808,DS005,2026-08-08,2026-08-09,Store-wide offer,0.17999999999999994
PROMO_DS005_20260819,DS005,2026-08-19,2026-08-20,Store-wide offer,0.17999999999999994
