Issue_ID,Order_ID,Order_Item_ID,Store_ID,Product_ID,Issue_Type,Financial_Impact_INR,Probable_Process_Stage,Probable_Worker_ID,Root_Cause_Status,Resolution_Type
QI00000001,ORD000000040,ITEM0000000138,DS001,SKU0062,Missing Item,668.4,Inventory Accuracy / Putaway,P_DS001_019,Unconfirmed,Refund
QI00000002,ORD000000042,ITEM0000000145,DS001,SKU0124,Missing Item,230.69,Inventory Accuracy / Putaway,P_DS001_019,Unconfirmed,Refund
QI00000003,ORD000000091,ITEM0000000321,DS001,SKU0114,Missing Item,116.74,Inventory Accuracy / Putaway,P_DS001_013,Unconfirmed,Refund
QI00000004,ORD000000115,ITEM0000000410,DS001,SKU0114,Missing Item,116.74,Inventory Accuracy / Putaway,P_DS001_007,Unconfirmed,Refund
QI00000005,ORD000000144,ITEM0000000517,DS001,SKU0278,Missing Item,224.88,Inventory Accuracy / Putaway,P_DS001_019,Unconfirmed,Refund
QI00000006,ORD000000146,ITEM0000000528,DS001,SKU0261,Missing Item,625.36,Inventory Accuracy / Putaway,P_DS001_019,Unconfirmed,Replacement
QI00000007,ORD000000189,ITEM0000000719,DS001,SKU0093,Missing Item,344.3,Inventory Accuracy / Putaway,P_DS001_022,Unconfirmed,Refund
QI00000008,ORD000000192,ITEM0000000729,DS001,SKU0019,Missing Item,277.78,Inventory Accuracy / Putaway,P_DS001_019,Unconfirmed,Refund
QI00000009,ORD000000198,ITEM0000000752,DS001,SKU0201,Missing Item,81.18,Inventory Accuracy / Putaway,P_DS001_022,Unconfirmed,Refund
QI00000010,ORD000000204,ITEM0000000778,DS001,SKU0219,Missing Item,344.59,Inventory Accuracy / Putaway,P_DS001_005,Unconfirmed,Replacement
QI00000011,ORD000000213,ITEM0000000817,DS001,SKU0203,Wrong Item,130.42,Picking,P_DS001_005,Unconfirmed,Replacement
QI00000012,ORD000000309,ITEM0000001158,DS001,SKU0166,Missing Item,987.88,Inventory Accuracy / Putaway,P_DS001_023,Unconfirmed,Refund
QI00000013,ORD000000337,ITEM0000001257,DS001,SKU0143,Damaged Item,201.68,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000014,ORD000000347,ITEM0000001297,DS001,SKU0114,Wrong Item,116.74,Picking,P_DS001_020,Unconfirmed,Refund
QI00000015,ORD000000375,ITEM0000001407,DS001,SKU0222,Missing Item,117.02,Inventory Accuracy / Putaway,P_DS001_002,Unconfirmed,Refund
QI00000016,ORD000000400,ITEM0000001507,DS001,SKU0019,Wrong Item,277.78,Picking,P_DS001_011,Unconfirmed,Replacement
QI00000017,ORD000000414,ITEM0000001559,DS001,SKU0273,Wrong Item,303.86,Picking,P_DS001_008,Unconfirmed,Replacement
QI00000018,ORD000000476,ITEM0000001799,DS001,SKU0198,Wrong Item,707.66,Shelf Placement / Picking Verification,P_DS001_032,Unconfirmed,Refund
QI00000019,ORD000000486,ITEM0000001833,DS001,SKU0013,Wrong Item,573.06,Shelf Placement / Picking Verification,P_DS001_014,Unconfirmed,Replacement
QI00000020,ORD000000504,ITEM0000001908,DS001,SKU0214,Missing Item,137.01,Inventory Accuracy / Putaway,P_DS001_026,Unconfirmed,Refund
QI00000021,ORD000000618,ITEM0000002338,DS001,SKU0162,Wrong Item,127.02,Picking,P_DS001_014,Unconfirmed,Refund
QI00000022,ORD000000644,ITEM0000002444,DS001,SKU0279,Missing Item,109.67,Inventory Accuracy / Putaway,P_DS001_035,Unconfirmed,Refund
QI00000023,ORD000000664,ITEM0000002507,DS001,SKU0199,Missing Item,138.52,Inventory Accuracy / Putaway,P_DS001_011,Unconfirmed,Refund
QI00000024,ORD000000667,ITEM0000002517,DS001,SKU0149,Missing Item,91.54,Inventory Accuracy / Putaway,P_DS001_029,Unconfirmed,Refund
QI00000025,ORD000000737,ITEM0000002778,DS001,SKU0291,Missing Item,294.78,Inventory Accuracy / Putaway,P_DS001_014,Unconfirmed,Replacement
QI00000026,ORD000000747,ITEM0000002818,DS001,SKU0127,Wrong Item,229.21,Shelf Placement / Picking Verification,P_DS001_020,Unconfirmed,Refund
QI00000027,ORD000000830,ITEM0000003131,DS001,SKU0166,Wrong Item,493.94,Shelf Placement / Picking Verification,P_DS001_026,Unconfirmed,Replacement
QI00000028,ORD000000837,ITEM0000003158,DS001,SKU0022,Wrong Item,446.03,Picking,P_DS001_011,Unconfirmed,Refund
QI00000029,ORD000000897,ITEM0000003399,DS001,SKU0173,Missing Item,451.68,Inventory Accuracy / Putaway,P_DS001_035,Unconfirmed,Refund
QI00000030,ORD000000923,ITEM0000003503,DS001,SKU0144,Missing Item,82.27,Inventory Accuracy / Putaway,P_DS001_008,Unconfirmed,Refund
QI00000031,ORD000000936,ITEM0000003555,DS001,SKU0010,Missing Item,309.18,Inventory Accuracy / Putaway,P_DS001_023,Unconfirmed,Replacement
QI00000032,ORD000000961,ITEM0000003642,DS001,SKU0275,Missing Item,44.18,Inventory Accuracy / Putaway,P_DS001_029,Unconfirmed,Replacement
QI00000033,ORD000001036,ITEM0000003941,DS001,SKU0013,Wrong Item,286.53,Shelf Placement / Picking Verification,P_DS001_005,Unconfirmed,Refund
QI00000034,ORD000001083,ITEM0000004118,DS001,SKU0037,Damaged Item,227.85,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000035,ORD000001118,ITEM0000004238,DS001,SKU0209,Missing Item,205.42,Inventory Accuracy / Putaway,P_DS001_008,Unconfirmed,Refund
QI00000036,ORD000001177,ITEM0000004456,DS001,SKU0221,Missing Item,557.08,Inventory Accuracy / Putaway,P_DS001_008,Unconfirmed,Refund
QI00000037,ORD000001204,ITEM0000004558,DS001,SKU0276,Missing Item,111.19,Inventory Accuracy / Putaway,P_DS001_011,Unconfirmed,Refund
QI00000038,ORD000001209,ITEM0000004570,DS001,SKU0018,Damaged Item,292.04,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000039,ORD000001237,ITEM0000004675,DS001,SKU0002,Missing Item,261.16,Inventory Accuracy / Putaway,P_DS001_005,Unconfirmed,Refund
QI00000040,ORD000001267,ITEM0000004780,DS001,SKU0261,Missing Item,312.68,Inventory Accuracy / Putaway,P_DS001_021,Unconfirmed,Refund
QI00000041,ORD000001289,ITEM0000004871,DS001,SKU0253,Missing Item,126.6,Inventory Accuracy / Putaway,P_DS001_021,Unconfirmed,Refund
QI00000042,ORD000001321,ITEM0000004991,DS001,SKU0013,Wrong Item,859.59,Shelf Placement / Picking Verification,P_DS001_030,Unconfirmed,Replacement
QI00000043,ORD000001330,ITEM0000005029,DS001,SKU0085,Missing Item,469.4,Inventory Accuracy / Putaway,P_DS001_021,Unconfirmed,Refund
QI00000044,ORD000001371,ITEM0000005164,DS001,SKU0240,Wrong Item,142.08,Shelf Placement / Picking Verification,P_DS001_027,Unconfirmed,Refund
QI00000045,ORD000001405,ITEM0000005292,DS001,SKU0058,Missing Item,264.03,Inventory Accuracy / Putaway,P_DS001_033,Unconfirmed,Replacement
QI00000046,ORD000001444,ITEM0000005438,DS001,SKU0129,Missing Item,21.75,Inventory Accuracy / Putaway,P_DS001_033,Unconfirmed,Replacement
QI00000047,ORD000001465,ITEM0000005520,DS001,SKU0249,Missing Item,489.26,Inventory Accuracy / Putaway,P_DS001_015,Unconfirmed,Refund
QI00000048,ORD000001473,ITEM0000005549,DS001,SKU0147,Missing Item,317.96,Inventory Accuracy / Putaway,P_DS001_033,Unconfirmed,Replacement
QI00000049,ORD000001473,ITEM0000005550,DS001,SKU0057,Missing Item,229.0,Inventory Accuracy / Putaway,P_DS001_033,Unconfirmed,Refund
QI00000050,ORD000001522,ITEM0000005749,DS001,SKU0128,Missing Item,157.1,Inventory Accuracy / Putaway,P_DS001_018,Unconfirmed,Refund
QI00000051,ORD000001533,ITEM0000005787,DS001,SKU0209,Damaged Item,102.71,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000052,ORD000001633,ITEM0000006136,DS001,SKU0166,Wrong Item,493.94,Shelf Placement / Picking Verification,P_DS001_021,Unconfirmed,Refund
QI00000053,ORD000001641,ITEM0000006167,DS001,SKU0281,Missing Item,264.39,Inventory Accuracy / Putaway,P_DS001_009,Unconfirmed,Refund
QI00000054,ORD000001659,ITEM0000006233,DS001,SKU0138,Missing Item,409.79,Inventory Accuracy / Putaway,P_DS001_030,Unconfirmed,Refund
QI00000055,ORD000001667,ITEM0000006265,DS001,SKU0158,Missing Item,145.24,Inventory Accuracy / Putaway,P_DS001_012,Unconfirmed,Replacement
QI00000056,ORD000001761,ITEM0000006604,DS001,SKU0087,Damaged Item,203.0,Putaway / Picking Handling,,Unconfirmed,Replacement
QI00000057,ORD000001765,ITEM0000006621,DS001,SKU0252,Missing Item,337.37,Inventory Accuracy / Putaway,P_DS001_018,Unconfirmed,Refund
QI00000058,ORD000001809,ITEM0000006796,DS001,SKU0034,Missing Item,503.2,Inventory Accuracy / Putaway,P_DS001_018,Unconfirmed,Refund
QI00000059,ORD000001817,ITEM0000006829,DS001,SKU0021,Missing Item,387.42,Inventory Accuracy / Putaway,P_DS001_015,Unconfirmed,Refund
QI00000060,ORD000001822,ITEM0000006851,DS001,SKU0139,Wrong Item,439.94,Picking,P_DS001_009,Unconfirmed,Refund
QI00000061,ORD000001840,ITEM0000006911,DS001,SKU0264,Damaged Item,26.89,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000062,ORD000001863,ITEM0000007017,DS001,SKU0035,Wrong Item,623.3,Picking,P_DS001_009,Unconfirmed,Replacement
QI00000063,ORD000001933,ITEM0000007287,DS001,SKU0127,Wrong Item,229.21,Shelf Placement / Picking Verification,P_DS001_018,Unconfirmed,Refund
QI00000064,ORD000001948,ITEM0000007344,DS001,SKU0290,Missing Item,416.48,Inventory Accuracy / Putaway,P_DS001_021,Unconfirmed,Refund
QI00000065,ORD000001950,ITEM0000007360,DS001,SKU0283,Missing Item,174.74,Inventory Accuracy / Putaway,P_DS001_033,Unconfirmed,Refund
QI00000066,ORD000002037,ITEM0000007677,DS001,SKU0023,Missing Item,333.86,Inventory Accuracy / Putaway,P_DS001_033,Unconfirmed,Refund
QI00000067,ORD000002058,ITEM0000007748,DS001,SKU0121,Missing Item,422.82,Inventory Accuracy / Putaway,P_DS001_030,Unconfirmed,Refund
QI00000068,ORD000002081,ITEM0000007838,DS001,SKU0027,Missing Item,261.37,Inventory Accuracy / Putaway,P_DS001_027,Unconfirmed,Refund
QI00000069,ORD000002084,ITEM0000007854,DS001,SKU0093,Missing Item,172.15,Inventory Accuracy / Putaway,P_DS001_027,Unconfirmed,Refund
QI00000070,ORD000002132,ITEM0000008031,DS001,SKU0202,Damaged Item,388.42,Putaway / Picking Handling,,Unconfirmed,Replacement
QI00000071,ORD000002168,ITEM0000008154,DS001,SKU0084,Missing Item,222.04,Inventory Accuracy / Putaway,P_DS001_021,Unconfirmed,Refund
QI00000072,ORD000002184,ITEM0000008214,DS001,SKU0084,Wrong Item,222.04,Shelf Placement / Picking Verification,P_DS001_027,Unconfirmed,Refund
QI00000073,ORD000002185,ITEM0000008218,DS001,SKU0211,Wrong Item,152.51,Picking,P_DS001_027,Unconfirmed,Refund
QI00000074,ORD000002224,ITEM0000008345,DS001,SKU0037,Missing Item,75.95,Inventory Accuracy / Putaway,P_DS001_006,Unconfirmed,Replacement
QI00000075,ORD000002230,ITEM0000008362,DS001,SKU0090,Wrong Item,521.0,Picking,P_DS001_012,Unconfirmed,Replacement
QI00000076,ORD000002237,ITEM0000008395,DS001,SKU0276,Wrong Item,222.38,Picking,P_DS001_030,Unconfirmed,Replacement
QI00000077,ORD000002290,ITEM0000008588,DS001,SKU0131,Missing Item,255.32,Inventory Accuracy / Putaway,P_DS001_027,Unconfirmed,Refund
QI00000078,ORD000002305,ITEM0000008650,DS001,SKU0010,Missing Item,309.18,Inventory Accuracy / Putaway,P_DS001_012,Unconfirmed,Refund
QI00000079,ORD000002366,ITEM0000008876,DS001,SKU0195,Missing Item,613.68,Inventory Accuracy / Putaway,P_DS001_027,Unconfirmed,Replacement
QI00000080,ORD000002376,ITEM0000008920,DS001,SKU0013,Wrong Item,286.53,Shelf Placement / Picking Verification,P_DS001_015,Unconfirmed,Refund
QI00000081,ORD000002381,ITEM0000008930,DS001,SKU0269,Missing Item,798.48,Inventory Accuracy / Putaway,P_DS001_030,Unconfirmed,Refund
QI00000082,ORD000002394,ITEM0000008988,DS001,SKU0019,Missing Item,277.78,Inventory Accuracy / Putaway,P_DS001_033,Unconfirmed,Replacement
QI00000083,ORD000002422,ITEM0000009102,DS001,SKU0185,Missing Item,196.9,Inventory Accuracy / Putaway,P_DS001_021,Unconfirmed,Refund
QI00000084,ORD000002436,ITEM0000009151,DS001,SKU0209,Damaged Item,205.42,Putaway / Picking Handling,,Unconfirmed,Replacement
