Interval_ID,Start_Time,End_Time,Start_Minute,End_Minute,Hour_Number,Daypart,Default_Peak_Flag
1,00:00:00,00:30:00,0,30,0,Night,False
2,00:30:00,01:00:00,30,60,0,Night,False
3,01:00:00,01:30:00,60,90,1,Night,False
4,01:30:00,02:00:00,90,120,1,Night,False
5,02:00:00,02:30:00,120,150,2,Night,False
6,02:30:00,03:00:00,150,180,2,Night,False
7,03:00:00,03:30:00,180,210,3,Night,False
8,03:30:00,04:00:00,210,240,3,Night,False
9,04:00:00,04:30:00,240,270,4,Night,False
10,04:30:00,05:00:00,270,300,4,Night,False
11,05:00:00,05:30:00,300,330,5,Night,False
12,05:30:00,06:00:00,330,360,5,Night,False
13,06:00:00,06:30:00,360,390,6,Morning,False
14,06:30:00,07:00:00,390,420,6,Morning,False
15,07:00:00,07:30:00,420,450,7,Morning,False
16,07:30:00,08:00:00,450,480,7,Morning,False
17,08:00:00,08:30:00,480,510,8,Morning,False
18,08:30:00,09:00:00,510,540,8,Morning,False
19,09:00:00,09:30:00,540,570,9,Morning,False
20,09:30:00,10:00:00,570,600,9,Morning,False
21,10:00:00,10:30:00,600,630,10,Morning,False
22,10:30:00,11:00:00,630,660,10,Morning,False
23,11:00:00,11:30:00,660,690,11,Lunch,False
24,11:30:00,12:00:00,690,720,11,Lunch,False
25,12:00:00,12:30:00,720,750,12,Lunch,True
26,12:30:00,13:00:00,750,780,12,Lunch,True
27,13:00:00,13:30:00,780,810,13,Lunch,True
28,13:30:00,14:00:00,810,840,13,Lunch,True
29,14:00:00,14:30:00,840,870,14,Lunch,False
30,14:30:00,15:00:00,870,900,14,Lunch,False
31,15:00:00,15:30:00,900,930,15,Afternoon,False
32,15:30:00,16:00:00,930,960,15,Afternoon,False
33,16:00:00,16:30:00,960,990,16,Afternoon,False
34,16:30:00,17:00:00,990,1020,16,Afternoon,False
35,17:00:00,17:30:00,1020,1050,17,Afternoon,False
36,17:30:00,18:00:00,1050,1080,17,Afternoon,False
37,18:00:00,18:30:00,1080,1110,18,Evening,True
38,18:30:00,19:00:00,1110,1140,18,Evening,True
39,19:00:00,19:30:00,1140,1170,19,Evening,True
40,19:30:00,20:00:00,1170,1200,19,Evening,True
41,20:00:00,20:30:00,1200,1230,20,Evening,True
42,20:30:00,21:00:00,1230,1260,20,Evening,True
43,21:00:00,21:30:00,1260,1290,21,Evening,True
44,21:30:00,22:00:00,1290,1320,21,Evening,True
45,22:00:00,22:30:00,1320,1350,22,Evening,False
46,22:30:00,23:00:00,1350,1380,22,Evening,False
47,23:00:00,23:30:00,1380,1410,23,Late Night,False
48,23:30:00,00:00:00,1410,1440,23,Late Night,False
