Shift_ID,Worker_ID,Worker_Type,Store_ID,Shift_Date,Shift_Name,OD_Flag,Scheduled_Start,Scheduled_End,Actual_Login,Actual_Logout,Attendance_Status,Scheduled_Hours,Logged_Hours
SH00000001,P_DS001_001,Picker,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000002,P_DS001_002,Picker,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000003,P_DS001_004,Picker,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000004,P_DS001_005,Picker,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000005,P_DS001_006,Picker,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:38:00,2026-07-02 01:00:00,Late,9.0,8.366666666666667
SH00000006,P_DS001_007,Picker,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000007,P_DS001_008,Picker,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000008,P_DS001_009,Picker,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000009,P_DS001_011,Picker,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000010,P_DS001_012,Picker,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000011,P_DS001_013,Picker,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000012,P_DS001_014,Picker,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000013,P_DS001_015,Picker,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000014,P_DS001_016,Picker,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000015,P_DS001_018,Picker,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000016,P_DS001_019,Picker,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000017,P_DS001_020,Picker,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000018,P_DS001_021,Picker,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 00:29:00,Early Logout,9.0,8.483333333333333
SH00000019,P_DS001_022,Picker,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
