Worker_ID,Worker_Type,Home_Store_ID,Employment_Type,Home_Shift,Experience_Band,Join_Date,Weekly_Off_Day,Active_Flag
P_DS001_001,Picker,DS001,Regular,Night,New,2024-06-19,1,True
P_DS001_002,Picker,DS001,Regular,Morning,Experienced,2025-10-20,2,True
P_DS001_003,Picker,DS001,Regular,Evening,Senior,2025-02-21,3,True
P_DS001_004,Picker,DS001,Regular,Night,Senior,2026-01-11,4,True
P_DS001_005,Picker,DS001,Regular,Morning,New,2026-03-06,5,True
P_DS001_006,Picker,DS001,Regular,Evening,Experienced,2025-08-11,6,True
P_DS001_007,Picker,DS001,Regular,Night,Experienced,2025-05-13,7,True
P_DS001_008,Picker,DS001,Regular,Morning,Experienced,2024-02-22,1,True
P_DS001_009,Picker,DS001,Regular,Evening,Senior,2024-01-25,2,True
P_DS001_010,Picker,DS001,Regular,Night,Experienced,2024-03-17,3,True
P_DS001_011,Picker,DS001,Regular,Morning,New,2025-01-03,4,True
P_DS001_012,Picker,DS001,Regular,Evening,Senior,2024-07-08,5,True
P_DS001_013,Picker,DS001,Regular,Night,Experienced,2024-05-20,6,True
P_DS001_014,Picker,DS001,Regular,Morning,New,2025-12-12,7,True
P_DS001_015,Picker,DS001,Regular,Evening,Senior,2024-11-10,1,True
P_DS001_016,Picker,DS001,Regular,Night,Experienced,2026-03-18,2,True
P_DS001_017,Picker,DS001,Regular,Morning,Experienced,2025-11-22,3,True
P_DS001_018,Picker,DS001,Regular,Evening,Senior,2025-09-12,4,True
P_DS001_019,Picker,DS001,Regular,Night,Experienced,2024-09-18,5,True
P_DS001_020,Picker,DS001,Regular,Morning,Experienced,2024-10-15,6,True
P_DS001_021,Picker,DS001,Regular,Evening,Experienced,2025-08-06,7,True
P_DS001_022,Picker,DS001,Regular,Night,Experienced,2026-01-25,1,True
P_DS001_023,Picker,DS001,Regular,Morning,Experienced,2024-06-05,2,True
P_DS001_024,Picker,DS001,Regular,Evening,Experienced,2025-09-24,3,True
P_DS001_025,Picker,DS001,Regular,Night,Senior,2025-02-05,4,True
P_DS001_026,Picker,DS001,Regular,Morning,Experienced,2024-11-16,5,True
P_DS001_027,Picker,DS001,Regular,Evening,New,2025-09-19,6,True
P_DS001_028,Picker,DS001,Regular,Night,Experienced,2024-03-30,7,True
P_DS001_029,Picker,DS001,Regular,Morning,Experienced,2026-04-16,1,True
P_DS001_030,Picker,DS001,Regular,Evening,Experienced,2024-04-05,2,True
P_DS001_031,Picker,DS001,Regular,Night,Senior,2026-01-07,3,True
P_DS001_032,Picker,DS001,Regular,Morning,Experienced,2024-04-15,4,True
P_DS001_033,Picker,DS001,Regular,Evening,Experienced,2025-01-02,5,True
P_DS001_034,Picker,DS001,Regular,Night,Experienced,2025-10-03,6,True
P_DS001_035,Picker,DS001,Regular,Morning,Experienced,2024-02-11,7,True
P_DS001_036,Picker,DS001,Regular,Evening,Experienced,2025-08-22,1,True
R_DS001_001,Rider,DS001,Gig,Night,Experienced,2026-01-11,1,True
R_DS001_002,Rider,DS001,Gig,Morning,Experienced,2024-11-10,2,True
R_DS001_003,Rider,DS001,Gig,Evening,Experienced,2024-08-09,3,True
R_DS001_004,Rider,DS001,Gig,Night,Experienced,2025-02-03,4,True
R_DS001_005,Rider,DS001,Gig,Morning,Experienced,2025-09-27,5,True
R_DS001_006,Rider,DS001,Gig,Evening,Experienced,2025-01-13,6,True
R_DS001_007,Rider,DS001,Gig,Night,New,2025-09-19,7,True
R_DS001_008,Rider,DS001,Gig,Morning,Experienced,2025-11-12,1,True
R_DS001_009,Rider,DS001,Gig,Evening,New,2026-06-16,2,True
R_DS001_010,Rider,DS001,Gig,Night,Experienced,2026-05-20,3,True
R_DS001_011,Rider,DS001,Gig,Morning,Experienced,2026-04-09,4,True
R_DS001_012,Rider,DS001,Gig,Evening,Experienced,2026-05-12,5,True
R_DS001_013,Rider,DS001,Gig,Night,Experienced,2024-12-10,6,True
R_DS001_014,Rider,DS001,Gig,Morning,Experienced,2026-04-24,7,True
R_DS001_015,Rider,DS001,Gig,Evening,Experienced,2025-05-27,1,True
R_DS001_016,Rider,DS001,Gig,Night,Senior,2026-02-11,2,True
R_DS001_017,Rider,DS001,Gig,Morning,Senior,2025-11-01,3,True
R_DS001_018,Rider,DS001,Gig,Evening,Experienced,2024-11-01,4,True
R_DS001_019,Rider,DS001,Gig,Night,New,2025-07-24,5,True
R_DS001_020,Rider,DS001,Gig,Morning,Senior,2025-12-18,6,True
R_DS001_021,Rider,DS001,Gig,Evening,Experienced,2025-09-29,7,True
R_DS001_022,Rider,DS001,Gig,Night,New,2025-11-05,1,True
R_DS001_023,Rider,DS001,Regular,Morning,Experienced,2024-12-14,2,True
R_DS001_024,Rider,DS001,Gig,Evening,Senior,2026-03-29,3,True
R_DS001_025,Rider,DS001,Gig,Night,Experienced,2024-09-23,4,True
R_DS001_026,Rider,DS001,Gig,Morning,Experienced,2024-11-21,5,True
R_DS001_027,Rider,DS001,Gig,Evening,Experienced,2025-06-29,6,True
R_DS001_028,Rider,DS001,Gig,Night,New,2026-03-26,7,True
R_DS001_029,Rider,DS001,Gig,Morning,Senior,2026-05-19,1,True
R_DS001_030,Rider,DS001,Gig,Evening,Senior,2024-10-03,2,True
R_DS001_031,Rider,DS001,Gig,Night,New,2026-04-18,3,True
R_DS001_032,Rider,DS001,Gig,Morning,New,2025-05-15,4,True
